,AMI,ARI,Completeness,Homogeneity,V-measure
mean
th0.3 method1 k25 t0.6 c0.4,0.0,0.0,1.0,0.0,0.0
th0.35 method1 k25 t0.6 c0.4,0.0,0.0,1.0,0.0,0.0
th0.39999999999999997 method1 k25 t0.6 c0.4,0.0,0.0,1.0,0.0,0.0
th0.44999999999999996 method1 k25 t0.6 c0.4,0.37,0.17,0.87,0.39,0.54
th0.49999999999999994 method1 k25 t0.6 c0.4,0.66,0.49,0.88,0.69,0.78
th0.5499999999999999 method1 k25 t0.6 c0.4,0.84,0.77,0.91,0.87,0.89
th0.6 method1 k25 t0.6 c0.4,0.9,0.87,0.92,0.93,0.93
th0.65 method1 k25 t0.6 c0.4,0.87,0.88,0.9,0.97,0.93
th0.7000000000000001 method1 k25 t0.6 c0.4,0.75,0.78,0.82,0.99,0.89
th0.7500000000000001 method1 k25 t0.6 c0.4,0.6,0.61,0.73,1.0,0.85
th0.8000000000000002 method1 k25 t0.6 c0.4,0.46,0.46,0.66,1.0,0.8
max
th0.3 method1 k25 t0.6 c0.4,-0.0,0.0,1.0,-0.0,-0.0
th0.35 method1 k25 t0.6 c0.4,-0.0,0.0,1.0,-0.0,-0.0
th0.39999999999999997 method1 k25 t0.6 c0.4,-0.0,0.0,1.0,-0.0,-0.0
th0.44999999999999996 method1 k25 t0.6 c0.4,0.46,0.24,0.91,0.48,0.62
th0.49999999999999994 method1 k25 t0.6 c0.4,0.72,0.6,0.9,0.75,0.81
th0.5499999999999999 method1 k25 t0.6 c0.4,0.85,0.81,0.92,0.88,0.9
th0.6 method1 k25 t0.6 c0.4,0.91,0.9,0.93,0.94,0.94
th0.65 method1 k25 t0.6 c0.4,0.9,0.93,0.93,0.98,0.95
th0.7000000000000001 method1 k25 t0.6 c0.4,0.82,0.88,0.87,0.99,0.92
th0.7500000000000001 method1 k25 t0.6 c0.4,0.66,0.69,0.77,1.0,0.87
th0.8000000000000002 method1 k25 t0.6 c0.4,0.5,0.5,0.68,1.0,0.81
min
th0.3 method1 k25 t0.6 c0.4,-0.0,0.0,1.0,-0.0,-0.0
th0.35 method1 k25 t0.6 c0.4,-0.0,0.0,1.0,-0.0,-0.0
th0.39999999999999997 method1 k25 t0.6 c0.4,-0.0,0.0,1.0,-0.0,-0.0
th0.44999999999999996 method1 k25 t0.6 c0.4,0.29,0.11,0.82,0.31,0.45
th0.49999999999999994 method1 k25 t0.6 c0.4,0.61,0.39,0.83,0.65,0.75
th0.5499999999999999 method1 k25 t0.6 c0.4,0.82,0.73,0.89,0.85,0.87
th0.6 method1 k25 t0.6 c0.4,0.87,0.84,0.9,0.92,0.91
th0.65 method1 k25 t0.6 c0.4,0.82,0.82,0.87,0.97,0.91
th0.7000000000000001 method1 k25 t0.6 c0.4,0.66,0.64,0.77,0.99,0.86
th0.7500000000000001 method1 k25 t0.6 c0.4,0.51,0.47,0.69,0.99,0.82
th0.8000000000000002 method1 k25 t0.6 c0.4,0.38,0.31,0.63,1.0,0.78
std
th0.3 method1 k25 t0.6 c0.4,0.0,0.0,0.0,0.0,0.0
th0.35 method1 k25 t0.6 c0.4,0.0,0.0,0.0,0.0,0.0
th0.39999999999999997 method1 k25 t0.6 c0.4,0.0,0.0,0.0,0.0,0.0
th0.44999999999999996 method1 k25 t0.6 c0.4,0.06,0.05,0.03,0.06,0.06
th0.49999999999999994 method1 k25 t0.6 c0.4,0.04,0.07,0.03,0.03,0.02
th0.5499999999999999 method1 k25 t0.6 c0.4,0.01,0.03,0.01,0.01,0.01
th0.6 method1 k25 t0.6 c0.4,0.01,0.02,0.01,0.01,0.01
th0.65 method1 k25 t0.6 c0.4,0.03,0.04,0.02,0.0,0.01
th0.7000000000000001 method1 k25 t0.6 c0.4,0.05,0.08,0.03,0.0,0.02
th0.7500000000000001 method1 k25 t0.6 c0.4,0.05,0.08,0.03,0.0,0.02
th0.8000000000000002 method1 k25 t0.6 c0.4,0.04,0.07,0.02,0.0,0.01
test finished in 469.40 seconds
