,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.0,0.0,0.77,0.0,0.0
0.55,0.01,0.0,0.71,0.02,0.04
0.60,0.03,0.0,0.75,0.05,0.1
0.65,0.19,0.03,0.77,0.27,0.39
0.70,0.72,0.49,0.8,0.84,0.82
0.75,0.62,0.65,0.74,0.99,0.85
0.80,0.48,0.51,0.68,1.0,0.8
0.85,0.34,0.32,0.61,1.0,0.76
0.90,0.26,0.21,0.58,1.0,0.74
0.95,0.22,0.16,0.56,1.0,0.72
max
0.50,0.0,0.0,1.0,0.0,0.0
0.55,0.04,0.01,1.0,0.05,0.09
0.60,0.06,0.01,0.89,0.08,0.14
0.65,0.26,0.05,0.85,0.34,0.48
0.70,0.77,0.66,0.83,0.91,0.87
0.75,0.67,0.7,0.77,1.0,0.86
0.80,0.52,0.56,0.7,1.0,0.82
0.85,0.38,0.37,0.63,1.0,0.78
0.90,0.3,0.26,0.6,1.0,0.75
0.95,0.25,0.21,0.58,1.0,0.74
min
0.50,0.0,0.0,0.39,0.0,0.0
0.55,-0.0,-0.0,0.39,0.01,0.01
0.60,0.01,0.0,0.59,0.03,0.05
0.65,0.09,0.01,0.7,0.14,0.24
0.70,0.63,0.41,0.74,0.8,0.79
0.75,0.55,0.58,0.71,0.98,0.83
0.80,0.41,0.42,0.64,1.0,0.78
0.85,0.29,0.26,0.59,1.0,0.75
0.90,0.21,0.14,0.56,1.0,0.72
0.95,0.18,0.1,0.55,1.0,0.71
std
0.50,0.0,0.0,0.28,0.0,0.0
0.55,0.01,0.0,0.24,0.01,0.03
0.60,0.02,0.0,0.1,0.02,0.03
0.65,0.06,0.02,0.05,0.07,0.09
0.70,0.05,0.1,0.03,0.04,0.03
0.75,0.04,0.05,0.02,0.01,0.01
0.80,0.04,0.05,0.02,0.0,0.01
0.85,0.03,0.04,0.01,0.0,0.01
0.90,0.03,0.04,0.01,0.0,0.01
0.95,0.02,0.04,0.01,0.0,0.01
test finished in 7136.75 seconds
