,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.10,0.17,0.06,0.79,0.18,0.29
0.15,0.26,0.1,0.85,0.27,0.41
0.20,0.41,0.21,0.85,0.43,0.57
0.25,0.56,0.37,0.87,0.59,0.7
0.30,0.68,0.52,0.88,0.72,0.79
0.35,0.79,0.67,0.88,0.83,0.85
0.40,0.84,0.73,0.88,0.88,0.88
0.45,0.83,0.76,0.86,0.92,0.89
0.50,0.8,0.76,0.84,0.94,0.89
0.55,0.75,0.73,0.82,0.96,0.88
0.60,0.69,0.65,0.77,0.98,0.86
max
0.10,0.25,0.1,0.87,0.26,0.39
0.15,0.3,0.15,0.89,0.32,0.47
0.20,0.44,0.27,0.9,0.47,0.62
0.25,0.61,0.44,0.9,0.64,0.74
0.30,0.73,0.57,0.9,0.76,0.82
0.35,0.82,0.7,0.92,0.85,0.87
0.40,0.87,0.81,0.92,0.91,0.9
0.45,0.89,0.83,0.91,0.93,0.92
0.50,0.86,0.84,0.89,0.95,0.92
0.55,0.82,0.81,0.87,0.97,0.91
0.60,0.74,0.75,0.82,0.98,0.89
min
0.10,0.12,0.04,0.65,0.13,0.21
0.15,0.22,0.08,0.79,0.23,0.36
0.20,0.37,0.15,0.78,0.39,0.52
0.25,0.48,0.28,0.8,0.51,0.63
0.30,0.66,0.46,0.83,0.69,0.76
0.35,0.75,0.6,0.83,0.79,0.81
0.40,0.8,0.7,0.84,0.86,0.85
0.45,0.78,0.72,0.83,0.9,0.86
0.50,0.76,0.69,0.82,0.93,0.87
0.55,0.72,0.67,0.79,0.95,0.87
0.60,0.66,0.6,0.75,0.97,0.85
std
0.10,0.04,0.02,0.07,0.04,0.06
0.15,0.03,0.02,0.04,0.03,0.04
0.20,0.03,0.04,0.05,0.04,0.04
0.25,0.04,0.06,0.04,0.04,0.04
0.30,0.02,0.04,0.03,0.02,0.02
0.35,0.02,0.04,0.03,0.02,0.02
0.40,0.02,0.04,0.03,0.02,0.02
0.45,0.04,0.04,0.03,0.01,0.02
0.50,0.04,0.05,0.03,0.01,0.02
0.55,0.04,0.05,0.03,0.01,0.01
0.60,0.03,0.05,0.03,0.0,0.01
test finished in 6403.10 seconds
