,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.35,0.04,0.0,0.83,0.05,0.09
0.40,0.28,0.09,0.93,0.31,0.46
0.45,0.61,0.37,0.93,0.65,0.77
0.50,0.79,0.66,0.93,0.82,0.88
0.55,0.89,0.84,0.92,0.93,0.92
0.60,0.84,0.84,0.88,0.96,0.91
0.65,0.74,0.75,0.81,0.98,0.89
0.70,0.62,0.63,0.75,0.99,0.85
0.75,0.5,0.49,0.68,1.0,0.81
0.80,0.39,0.36,0.63,1.0,0.78
0.85,0.3,0.25,0.6,1.0,0.75
max
0.35,0.07,0.01,1.0,0.09,0.16
0.40,0.36,0.14,0.97,0.38,0.54
0.45,0.64,0.41,0.95,0.68,0.79
0.50,0.84,0.75,0.94,0.86,0.89
0.55,0.91,0.87,0.93,0.94,0.93
0.60,0.85,0.86,0.89,0.97,0.92
0.65,0.75,0.79,0.82,0.99,0.89
0.70,0.65,0.68,0.76,1.0,0.86
0.75,0.54,0.53,0.7,1.0,0.82
0.80,0.43,0.41,0.65,1.0,0.79
0.85,0.33,0.29,0.61,1.0,0.76
min
0.35,0.0,0.0,0.43,0.0,0.01
0.40,0.15,0.03,0.91,0.18,0.3
0.45,0.56,0.27,0.91,0.6,0.72
0.50,0.76,0.61,0.92,0.8,0.86
0.55,0.86,0.76,0.89,0.91,0.9
0.60,0.81,0.78,0.85,0.95,0.9
0.65,0.7,0.68,0.78,0.97,0.87
0.70,0.59,0.56,0.73,0.99,0.84
0.75,0.47,0.43,0.66,0.99,0.8
0.80,0.34,0.28,0.61,1.0,0.76
0.85,0.27,0.2,0.58,1.0,0.74
std
0.35,0.03,0.0,0.21,0.03,0.06
0.40,0.07,0.04,0.02,0.07,0.09
0.45,0.03,0.05,0.01,0.03,0.03
0.50,0.03,0.05,0.01,0.02,0.01
0.55,0.02,0.04,0.01,0.01,0.01
0.60,0.02,0.03,0.01,0.01,0.01
0.65,0.02,0.04,0.02,0.01,0.01
0.70,0.02,0.04,0.01,0.0,0.01
0.75,0.02,0.04,0.01,0.0,0.01
0.80,0.03,0.05,0.01,0.0,0.01
0.85,0.02,0.03,0.01,0.0,0.01
test finished in 2455.73 seconds
