,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.10,0.08,0.03,0.85,0.08,0.14
0.15,0.28,0.12,0.83,0.29,0.42
0.20,0.4,0.22,0.85,0.43,0.56
0.25,0.54,0.35,0.87,0.57,0.69
0.30,0.71,0.56,0.88,0.74,0.8
0.35,0.8,0.7,0.89,0.83,0.86
0.40,0.84,0.76,0.88,0.89,0.89
0.45,0.83,0.78,0.87,0.93,0.9
0.50,0.8,0.76,0.84,0.94,0.89
0.55,0.74,0.69,0.81,0.96,0.88
0.60,0.67,0.61,0.77,0.98,0.86
max
0.10,0.16,0.06,1.0,0.16,0.27
0.15,0.35,0.18,0.88,0.36,0.51
0.20,0.43,0.25,0.91,0.45,0.58
0.25,0.65,0.52,0.91,0.69,0.78
0.30,0.75,0.68,0.93,0.78,0.83
0.35,0.83,0.72,0.92,0.86,0.88
0.40,0.87,0.81,0.93,0.9,0.91
0.45,0.85,0.81,0.89,0.94,0.91
0.50,0.82,0.78,0.86,0.95,0.91
0.55,0.76,0.71,0.81,0.96,0.88
0.60,0.69,0.63,0.78,0.98,0.87
min
0.10,0.0,0.0,0.7,0.0,0.0
0.15,0.21,0.08,0.74,0.22,0.34
0.20,0.37,0.18,0.81,0.39,0.52
0.25,0.46,0.26,0.83,0.49,0.61
0.30,0.64,0.44,0.85,0.68,0.76
0.35,0.78,0.66,0.87,0.82,0.85
0.40,0.82,0.72,0.86,0.88,0.87
0.45,0.8,0.75,0.85,0.92,0.89
0.50,0.77,0.73,0.83,0.93,0.89
0.55,0.72,0.67,0.79,0.96,0.87
0.60,0.64,0.58,0.75,0.97,0.85
std
0.10,0.07,0.02,0.13,0.07,0.12
0.15,0.06,0.04,0.05,0.06,0.07
0.20,0.02,0.02,0.04,0.02,0.02
0.25,0.06,0.09,0.03,0.07,0.05
0.30,0.04,0.08,0.03,0.03,0.03
0.35,0.02,0.02,0.02,0.01,0.01
0.40,0.02,0.03,0.03,0.01,0.01
0.45,0.02,0.03,0.01,0.01,0.01
0.50,0.02,0.02,0.01,0.01,0.01
0.55,0.01,0.02,0.01,0.0,0.0
0.60,0.02,0.02,0.01,0.0,0.01
test finished in 2089.32 seconds
