,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.04,0.01,0.81,0.04,0.06
0.40,0.41,0.23,0.86,0.42,0.57
0.45,0.68,0.56,0.87,0.7,0.77
0.50,0.82,0.76,0.87,0.83,0.85
0.55,0.85,0.86,0.87,0.92,0.89
0.60,0.8,0.83,0.83,0.95,0.89
0.65,0.7,0.71,0.75,0.98,0.85
0.70,0.57,0.54,0.67,0.99,0.79
0.75,0.46,0.4,0.6,1.0,0.75
0.80,0.38,0.3,0.56,1.0,0.71
max
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,0.18,0.09,1.0,0.18,0.3
0.40,0.48,0.31,0.9,0.49,0.64
0.45,0.75,0.69,0.91,0.76,0.81
0.50,0.86,0.83,0.9,0.87,0.88
0.55,0.89,0.9,0.9,0.93,0.92
0.60,0.86,0.92,0.88,0.97,0.92
0.65,0.78,0.85,0.81,0.98,0.89
0.70,0.65,0.69,0.72,0.99,0.83
0.75,0.51,0.51,0.63,1.0,0.77
0.80,0.42,0.4,0.58,1.0,0.73
min
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,0.0,0.0,0.3,0.0,0.0
0.40,0.31,0.12,0.8,0.32,0.47
0.45,0.59,0.4,0.83,0.6,0.7
0.50,0.78,0.65,0.84,0.79,0.82
0.55,0.81,0.76,0.83,0.9,0.86
0.60,0.74,0.74,0.77,0.94,0.85
0.65,0.62,0.55,0.68,0.97,0.8
0.70,0.49,0.35,0.61,0.99,0.75
0.75,0.4,0.26,0.56,0.99,0.72
0.80,0.33,0.19,0.53,1.0,0.69
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.06,0.02,0.25,0.06,0.1
0.40,0.04,0.04,0.02,0.04,0.04
0.45,0.04,0.06,0.02,0.03,0.03
0.50,0.02,0.04,0.02,0.02,0.02
0.55,0.02,0.03,0.02,0.01,0.02
0.60,0.03,0.04,0.03,0.01,0.02
0.65,0.04,0.07,0.03,0.0,0.02
0.70,0.03,0.08,0.02,0.0,0.02
0.75,0.03,0.07,0.02,0.0,0.01
0.80,0.02,0.06,0.01,0.0,0.01
test finished in 71473.76 seconds
