,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.35,0.01,0.0,0.98,0.02,0.03
0.40,0.32,0.14,0.86,0.34,0.49
0.45,0.61,0.41,0.87,0.65,0.74
0.50,0.79,0.69,0.89,0.82,0.85
0.55,0.87,0.82,0.9,0.9,0.9
0.60,0.84,0.85,0.88,0.96,0.92
0.65,0.76,0.79,0.82,0.98,0.89
0.70,0.64,0.67,0.76,0.99,0.86
0.75,0.52,0.54,0.7,1.0,0.82
0.80,0.41,0.4,0.64,1.0,0.78
0.85,0.31,0.27,0.61,1.0,0.75
max
0.35,0.05,0.01,1.0,0.06,0.11
0.40,0.36,0.17,0.88,0.37,0.53
0.45,0.64,0.5,0.88,0.68,0.76
0.50,0.82,0.78,0.91,0.85,0.87
0.55,0.88,0.87,0.91,0.93,0.92
0.60,0.85,0.87,0.89,0.97,0.92
0.65,0.78,0.8,0.83,0.98,0.9
0.70,0.66,0.72,0.77,1.0,0.87
0.75,0.55,0.61,0.71,1.0,0.83
0.80,0.43,0.45,0.65,1.0,0.79
0.85,0.34,0.34,0.62,1.0,0.76
min
0.35,0.0,0.0,0.92,0.0,0.0
0.40,0.27,0.1,0.84,0.29,0.43
0.45,0.58,0.36,0.87,0.62,0.72
0.50,0.77,0.66,0.88,0.8,0.84
0.55,0.87,0.79,0.89,0.89,0.9
0.60,0.83,0.82,0.87,0.95,0.91
0.65,0.73,0.76,0.81,0.97,0.89
0.70,0.59,0.62,0.73,0.99,0.84
0.75,0.47,0.47,0.67,1.0,0.8
0.80,0.36,0.33,0.62,1.0,0.77
0.85,0.27,0.21,0.59,1.0,0.74
std
0.35,0.02,0.0,0.03,0.02,0.04
0.40,0.03,0.03,0.02,0.03,0.04
0.45,0.02,0.05,0.0,0.02,0.01
0.50,0.02,0.04,0.01,0.02,0.01
0.55,0.0,0.03,0.01,0.01,0.01
0.60,0.01,0.02,0.01,0.01,0.0
0.65,0.02,0.02,0.01,0.0,0.0
0.70,0.03,0.04,0.01,0.0,0.01
0.75,0.03,0.05,0.01,0.0,0.01
0.80,0.03,0.04,0.01,0.0,0.01
0.85,0.02,0.04,0.01,0.0,0.01
test finished in 734.59 seconds
