,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.0,0.0,0.75,0.0,0.0
0.55,0.0,0.0,0.54,0.01,0.02
0.60,0.03,0.0,0.73,0.06,0.1
0.65,0.15,0.02,0.76,0.22,0.34
0.70,0.72,0.45,0.8,0.83,0.81
0.75,0.62,0.62,0.74,0.98,0.84
0.80,0.48,0.51,0.67,1.0,0.8
0.85,0.34,0.33,0.61,1.0,0.76
0.90,0.27,0.24,0.59,1.0,0.74
0.95,0.23,0.2,0.57,1.0,0.73
max
0.50,-0.0,0.0,1.0,-0.0,-0.0
0.55,0.02,0.0,0.75,0.03,0.06
0.60,0.06,0.01,0.84,0.09,0.17
0.65,0.19,0.03,0.82,0.26,0.39
0.70,0.76,0.55,0.82,0.86,0.84
0.75,0.67,0.68,0.76,1.0,0.85
0.80,0.53,0.57,0.69,1.0,0.81
0.85,0.35,0.37,0.63,1.0,0.77
0.90,0.29,0.29,0.6,1.0,0.75
0.95,0.26,0.25,0.59,1.0,0.74
min
0.50,-0.0,0.0,0.38,-0.0,-0.0
0.55,0.0,0.0,0.42,0.0,0.01
0.60,0.01,0.0,0.67,0.03,0.06
0.65,0.09,0.01,0.68,0.17,0.27
0.70,0.66,0.35,0.76,0.76,0.76
0.75,0.58,0.57,0.72,0.96,0.83
0.80,0.46,0.47,0.66,0.99,0.8
0.85,0.31,0.26,0.6,1.0,0.75
0.90,0.24,0.18,0.57,1.0,0.73
0.95,0.21,0.15,0.56,1.0,0.72
std
0.50,0.0,0.0,0.3,0.0,0.0
0.55,0.01,0.0,0.12,0.01,0.02
0.60,0.02,0.0,0.06,0.02,0.04
0.65,0.03,0.01,0.05,0.03,0.05
0.70,0.04,0.07,0.03,0.04,0.03
0.75,0.03,0.03,0.02,0.01,0.01
0.80,0.03,0.03,0.01,0.0,0.0
0.85,0.01,0.04,0.01,0.0,0.01
0.90,0.02,0.04,0.01,0.0,0.01
0.95,0.02,0.04,0.01,0.0,0.01
test finished in 537.86 seconds
