,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.10,0.14,0.05,0.68,0.15,0.23
0.15,0.31,0.16,0.7,0.33,0.45
0.20,0.44,0.28,0.74,0.47,0.57
0.25,0.52,0.37,0.74,0.57,0.64
0.30,0.63,0.5,0.76,0.68,0.72
0.35,0.71,0.61,0.77,0.77,0.77
0.40,0.72,0.67,0.78,0.83,0.8
0.45,0.71,0.68,0.78,0.88,0.82
0.50,0.7,0.69,0.78,0.92,0.84
0.55,0.67,0.65,0.77,0.96,0.85
0.60,0.63,0.58,0.74,0.98,0.84
max
0.10,0.22,0.1,0.76,0.24,0.34
0.15,0.33,0.18,0.74,0.36,0.47
0.20,0.5,0.35,0.78,0.53,0.62
0.25,0.55,0.4,0.78,0.6,0.67
0.30,0.65,0.52,0.79,0.7,0.74
0.35,0.75,0.66,0.81,0.79,0.8
0.40,0.77,0.72,0.82,0.85,0.83
0.45,0.75,0.73,0.81,0.9,0.85
0.50,0.73,0.71,0.8,0.94,0.86
0.55,0.7,0.71,0.79,0.97,0.86
0.60,0.66,0.64,0.76,0.98,0.86
min
0.10,0.05,0.01,0.6,0.06,0.11
0.15,0.3,0.15,0.66,0.32,0.43
0.20,0.38,0.23,0.71,0.42,0.53
0.25,0.48,0.32,0.71,0.52,0.6
0.30,0.61,0.48,0.74,0.67,0.7
0.35,0.7,0.57,0.75,0.76,0.76
0.40,0.69,0.63,0.75,0.81,0.78
0.45,0.68,0.65,0.76,0.87,0.81
0.50,0.69,0.65,0.77,0.92,0.83
0.55,0.64,0.58,0.75,0.95,0.84
0.60,0.59,0.53,0.72,0.97,0.83
std
0.10,0.06,0.03,0.06,0.06,0.08
0.15,0.01,0.01,0.03,0.01,0.01
0.20,0.04,0.04,0.03,0.04,0.03
0.25,0.03,0.03,0.02,0.03,0.03
0.30,0.01,0.02,0.02,0.01,0.01
0.35,0.02,0.03,0.02,0.01,0.01
0.40,0.03,0.03,0.02,0.01,0.02
0.45,0.03,0.03,0.02,0.01,0.01
0.50,0.01,0.02,0.01,0.01,0.01
0.55,0.02,0.04,0.01,0.01,0.01
0.60,0.02,0.05,0.01,0.0,0.01
test finished in 677.99 seconds
