,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.85,0.33,0.3,0.71,0.86,0.78
centroid-0.85,0.07,0.02,0.64,0.41,0.5
complete-0.9,0.17,0.15,0.68,0.86,0.76
single-0.75,0.41,0.29,0.71,0.72,0.71
max
average-0.85,0.36,0.34,0.73,0.89,0.8
centroid-0.85,0.09,0.03,0.68,0.43,0.51
complete-0.9,0.22,0.21,0.7,0.91,0.79
single-0.75,0.46,0.35,0.75,0.74,0.74
min
average-0.85,0.29,0.25,0.69,0.83,0.76
centroid-0.85,0.05,0.01,0.61,0.39,0.47
complete-0.9,0.13,0.08,0.65,0.79,0.73
single-0.75,0.34,0.22,0.68,0.69,0.69
std
average-0.85,0.03,0.04,0.02,0.02,0.02
centroid-0.85,0.01,0.01,0.03,0.02,0.01
complete-0.9,0.03,0.05,0.02,0.05,0.03
single-0.75,0.05,0.05,0.02,0.02,0.02
test finished in 4396.69 seconds
