,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.0,0.0,0.63,0.05,0.08
0.80,0.02,0.0,0.61,0.16,0.25
0.85,0.06,0.01,0.63,0.41,0.49
0.90,0.13,0.08,0.66,0.82,0.73
0.95,0.01,0.01,0.65,1.0,0.79
1.00,0.0,0.0,0.65,1.0,0.79
max
0.75,0.01,0.0,0.72,0.06,0.1
0.80,0.02,0.0,0.62,0.19,0.29
0.85,0.1,0.02,0.65,0.42,0.51
0.90,0.17,0.11,0.67,0.84,0.74
0.95,0.02,0.02,0.66,1.0,0.79
1.00,0.0,0.0,0.66,1.0,0.79
min
0.75,0.0,0.0,0.58,0.03,0.06
0.80,0.01,0.0,0.59,0.11,0.19
0.85,0.03,0.01,0.6,0.39,0.47
0.90,0.11,0.06,0.65,0.81,0.72
0.95,0.01,0.01,0.65,0.99,0.79
1.00,0.0,0.0,0.64,1.0,0.78
std
0.75,0.0,0.0,0.06,0.01,0.02
0.80,0.0,0.0,0.01,0.03,0.04
0.85,0.03,0.0,0.02,0.01,0.02
0.90,0.03,0.02,0.01,0.01,0.01
0.95,0.0,0.0,0.0,0.0,0.0
1.00,0.0,0.0,0.01,0.0,0.0
test finished in 3382.65 seconds
