,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.0,0.0,0.7,0.01,0.02
0.80,0.01,0.0,0.6,0.06,0.11
0.85,0.04,0.01,0.63,0.33,0.43
0.90,0.16,0.12,0.67,0.86,0.75
0.95,0.02,0.02,0.65,1.0,0.79
1.00,0.0,0.0,0.65,1.0,0.79
max
0.75,-0.0,0.0,1.0,0.03,0.05
0.80,0.02,0.0,0.64,0.07,0.12
0.85,0.08,0.02,0.67,0.36,0.47
0.90,0.2,0.15,0.68,0.9,0.77
0.95,0.04,0.05,0.66,1.0,0.79
1.00,-0.0,0.0,0.65,1.0,0.79
min
0.75,-0.0,0.0,0.53,-0.0,-0.0
0.80,0.0,0.0,0.56,0.05,0.09
0.85,0.02,0.0,0.6,0.29,0.39
0.90,0.14,0.09,0.66,0.82,0.73
0.95,0.0,0.0,0.65,0.99,0.78
1.00,-0.0,0.0,0.65,1.0,0.78
std
0.75,0.0,0.0,0.21,0.01,0.02
0.80,0.01,0.0,0.03,0.01,0.01
0.85,0.03,0.01,0.03,0.03,0.03
0.90,0.03,0.02,0.01,0.03,0.02
0.95,0.02,0.02,0.0,0.0,0.0
1.00,0.0,0.0,0.0,0.0,0.0
test finished in 3581.59 seconds
