,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.2,0.07,0.66,0.39,0.49
0.80,0.36,0.2,0.69,0.68,0.69
0.85,0.28,0.26,0.7,0.87,0.78
0.90,0.11,0.11,0.67,0.97,0.79
0.95,0.01,0.02,0.65,1.0,0.79
max
0.75,0.28,0.12,0.74,0.46,0.57
0.80,0.41,0.29,0.72,0.75,0.73
0.85,0.3,0.3,0.71,0.92,0.8
0.90,0.12,0.12,0.68,0.98,0.8
0.95,0.02,0.03,0.66,1.0,0.8
min
0.75,0.09,0.02,0.57,0.27,0.37
0.80,0.27,0.13,0.66,0.64,0.65
0.85,0.26,0.2,0.69,0.84,0.76
0.90,0.09,0.1,0.67,0.96,0.79
0.95,0.01,0.01,0.64,1.0,0.78
std
0.75,0.07,0.04,0.06,0.08,0.08
0.80,0.05,0.05,0.02,0.04,0.03
0.85,0.01,0.04,0.01,0.03,0.02
0.90,0.01,0.01,0.0,0.01,0.0
0.95,0.0,0.01,0.01,0.0,0.01
test finished in 3825.64 seconds
