,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.0,0.0,0.56,0.03,0.05
0.80,0.01,0.0,0.65,0.09,0.16
0.85,0.07,0.02,0.66,0.37,0.48
0.90,0.14,0.08,0.67,0.82,0.74
0.95,0.02,0.02,0.66,1.0,0.8
1.00,0.0,0.0,0.66,1.0,0.79
max
0.75,0.0,0.0,0.59,0.04,0.07
0.80,0.02,0.0,0.69,0.11,0.19
0.85,0.08,0.02,0.67,0.4,0.5
0.90,0.18,0.11,0.68,0.85,0.75
0.95,0.03,0.03,0.66,1.0,0.8
1.00,-0.0,0.0,0.66,1.0,0.79
min
0.75,0.0,0.0,0.53,0.02,0.03
0.80,0.01,0.0,0.61,0.08,0.15
0.85,0.05,0.01,0.65,0.33,0.44
0.90,0.11,0.05,0.66,0.8,0.72
0.95,0.01,0.01,0.66,1.0,0.79
1.00,-0.0,0.0,0.66,1.0,0.79
std
0.75,0.0,0.0,0.02,0.01,0.02
0.80,0.0,0.0,0.03,0.01,0.02
0.85,0.01,0.0,0.01,0.03,0.03
0.90,0.03,0.02,0.01,0.02,0.01
0.95,0.01,0.01,0.0,0.0,0.0
1.00,0.0,0.0,0.0,0.0,0.0
test finished in 2346.09 seconds
