,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.65,0.2,0.12,0.6,0.51,0.55
0.70,0.25,0.16,0.64,0.61,0.62
0.75,0.26,0.19,0.66,0.72,0.69
0.80,0.23,0.2,0.68,0.82,0.74
0.85,0.17,0.17,0.68,0.92,0.78
0.90,0.09,0.09,0.67,0.98,0.8
max
0.65,0.23,0.14,0.62,0.54,0.57
0.70,0.31,0.23,0.66,0.67,0.67
0.75,0.27,0.23,0.66,0.76,0.71
0.80,0.26,0.23,0.69,0.84,0.75
0.85,0.2,0.2,0.69,0.92,0.79
0.90,0.12,0.12,0.69,0.99,0.81
min
0.65,0.16,0.09,0.58,0.46,0.51
0.70,0.22,0.13,0.62,0.57,0.6
0.75,0.23,0.16,0.65,0.7,0.68
0.80,0.18,0.16,0.66,0.8,0.73
0.85,0.13,0.12,0.66,0.91,0.77
0.90,0.08,0.08,0.67,0.97,0.79
std
0.65,0.03,0.02,0.01,0.03,0.02
0.70,0.03,0.04,0.01,0.03,0.02
0.75,0.01,0.02,0.0,0.02,0.01
0.80,0.03,0.03,0.01,0.01,0.01
0.85,0.02,0.03,0.01,0.0,0.01
0.90,0.02,0.02,0.01,0.01,0.01
test finished in 3586.87 seconds
