,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.0,0.0,0.57,0.04,0.08
0.80,0.0,0.0,0.57,0.12,0.19
0.85,0.04,0.01,0.62,0.33,0.43
0.90,0.16,0.07,0.67,0.76,0.71
0.95,0.03,0.03,0.66,1.0,0.8
1.00,0.0,0.0,0.66,1.0,0.79
max
0.75,0.0,-0.0,0.58,0.05,0.09
0.80,0.01,0.0,0.6,0.14,0.22
0.85,0.07,0.02,0.65,0.37,0.47
0.90,0.21,0.11,0.68,0.8,0.74
0.95,0.04,0.04,0.67,1.0,0.8
1.00,0.0,0.0,0.67,1.0,0.8
min
0.75,0.0,-0.0,0.56,0.03,0.06
0.80,-0.0,0.0,0.56,0.1,0.17
0.85,0.02,0.0,0.6,0.29,0.39
0.90,0.11,0.05,0.66,0.71,0.69
0.95,0.01,0.01,0.66,0.99,0.79
1.00,0.0,0.0,0.65,1.0,0.79
std
0.75,0.0,0.0,0.01,0.01,0.01
0.80,0.0,0.0,0.02,0.02,0.02
0.85,0.02,0.01,0.02,0.03,0.03
0.90,0.04,0.03,0.01,0.04,0.02
0.95,0.01,0.01,0.0,0.0,0.0
1.00,0.0,0.0,0.01,0.0,0.0
test finished in 61.67 seconds
