model_300_78w.bin         {'rand': '(0.73, 0.40)', 'v': '(0.79, 0.40)', 'mi': '(0.74, 0.35)'}
model_5_78w.bin           {'rand': '(0.72, 0.40)', 'v': '(0.79, 0.40)', 'mi': '(0.74, 0.30)'}
model_78w.bin             {'rand': '(0.69, 0.45)', 'v': '(0.77, 0.50)', 'mi': '(0.71, 0.40)'}
model_82w.bin             {'rand': '(0.73, 0.45)', 'v': '(0.79, 0.45)', 'mi': '(0.72, 0.40)'}
ngram_300_3_83w.bin       {'rand': '(0.83, 0.50)', 'v': '(0.90, 0.50)', 'mi': '(0.87, 0.50)'}
normal_5_800000.bin       {'rand': '(0.72, 0.45)', 'v': '(0.78, 0.45)', 'mi': '(0.74, 0.40)'}
random_5_800000.bin       {'rand': '(0.72, 0.45)', 'v': '(0.78, 0.45)', 'mi': '(0.74, 0.40)'}
whole_content_1_100_80w.bin {'rand': '(0.73, 0.45)', 'v': '(0.79, 0.45)', 'mi': '(0.75, 0.40)'}

cbow_100_1_83w.bin        {'mi': '(0.74, 0.35)', 'rand': '(0.70, 0.4   0)', 'v': '(0.79, 0.45)'}
ngram_100_1_83w.bin       {'mi': '(0.03, 0.50)', 'rand': '(0.01, 0.5   0)', 'v': '(0.05, 0.50)'}
ngram_200_1_83w.bin       {'mi': '(0.47, 0.50)', 'rand': '(0.26, 0.5   0)', 'v': '(0.63, 0.50)'}
ngram_200_3_83w.bin       {'mi': '(0.77, 0.50)', 'rand': '(0.67, 0.5   0)', 'v': '(0.84, 0.50)'}
ngram_300_1_83w.bin       {'mi': '(0.68, 0.50)', 'rand': '(0.53, 0.5   0)', 'v': '(0.79, 0.50)'}
ngram_300_3_83w.bin       {'mi': '(0.88, 0.50)', 'rand': '(0.85, 0.5   0)', 'v': '(0.90, 0.50)'}
title_83w.bin             {'mi': '(0.00, 0.50)', 'rand': '(0.00, 0.5   0)', 'v': '(0.00, 0.50)'}
